Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
abacavir,B3,,Antimicrobianos,agentes antivirales,,abacavir
abacavir / dolutegravir / lamivudina,B3,,Antimicrobianos,agentes antivirales,,abacavir / dolutegravir / lamivudina
abacavir / lamivudina / zidovudina,B3,,Antimicrobianos,agentes antivirales,,abacavir / lamivudina / zidovudina
abacavir/lamivudina,B3,,Antimicrobianos,agentes antivirales,,abacavir/lamivudina
abatacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,,abatacept
abciximab,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,abciximab
abemaciclib,D," Según los resultados de estudios realizados en animales y su mecanismo de acción, abemaciclib puede dañar al feto.",Agentes antineoplásicos,,,abemaciclib
abiraterona,D,Los antiandrógenos tienen el potencial de provocar la feminización del feto masculino a las 8 semanas o más de la concepción y se debe evitar la exposición durante el embarazo.,Sistema endocrino,Antiandrógenos,,abiraterona
acalabrutinib,do,"Según hallazgos en animales, acalabrutinib puede causar daño fetal.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,acalabrutinib
acamprosato,B2,," Agentes desintoxicantes, antídotos",,,acamprosato
acarbosa,B3,,Sistema endocrino,agentes hipoglucemiantes,,acarbosa
acetazolamida,B3,,Sistema cardiovascular,Diuréticos,inhibidor de la anhidrasa carbónica,acetazolamida
acetazolamida (oftálmica),B3,,Medicamentos oftálmicos,,,acetazolamida (oftalmica)
acetilcolina,B2,,Medicamentos oftálmicos,,,acetilcolina
acetilcisteína,B2,,Sistema respiratorio,,,acetilcisteina
acetilcisteína (inhalada),B2,,Sistema respiratorio,Expectorantes y mucolíticos,,acetilcisteina (inhalada)
acetilcisteína (intravenosa),B2,," Agentes desintoxicantes, antídotos",,,acetilcisteina (intravenosa)
aciclovir,B3,,Antimicrobianos,agentes antivirales,,aciclovir
aciclovir (tópico),B3,,Medicamentos utilizados en Dermatología,antiviral tópico,,aciclovir (topico)
acitretina,incógnita,"Este medicamento es teratogénico en dosis dentro del rango terapéutico. Se almacena en el organismo durante varios meses después de suspenderlo. Debido a su larga vida media y a su almacenamiento en la grasa, se recomienda a las pacientes no concebir hasta dos años después de suspender el tratamiento debido al riesgo de malformaciones congénitas. Si se produce un embarazo durante el tratamiento con este medicamento, existe un alto riesgo de malformaciones congénitas.",Medicamentos utilizados en Dermatología,Sistémico,,acitretina
bromuro de aclidinio,B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,bromuro de aclidinio
bromuro de aclidinio/fumarato de eformoterol,B3,,Sistema respiratorio,Agentes inhalatorios,,bromuro de aclidinio/fumarato de eformoterol
actinomicina D (dactinomicina),D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,actinomicina D (dactinomicina)
adalimumab,do,"El adalimumab atraviesa la barrera placentaria. Debido a su inhibición del TNF-alfa, la administración de adalimumab durante el embarazo podría afectar la respuesta inmunitaria del recién nacido y del lactante expuestos intrauterinamente.",Alergia y sistema inmunológico,Inmunomodificadores,,adalimumab
adapaleno,D,"Se han reportado casos aislados de defectos congénitos en bebés nacidos de mujeres que usan este medicamento. Debido al riesgo potencial de efectos adversos en el desarrollo fetal, adapaleno no debe ser usado por mujeres embarazadas o que planeen quedar embarazadas durante el tratamiento.",Medicamentos utilizados en Dermatología,Actual,,adapaleno
adefovir,B3,,Antimicrobianos,agentes antivirales,,adefovir
adenosina,B2,,Sistema cardiovascular,Antiarrítmicos,,adenosina
adrenalina (epinefrina),A,,Sistema cardiovascular,estimulantes adrenérgicos,,adrenalina (epinefrina)
afamelanotida,B1,,Medicamentos utilizados en dermatología,Sistémico,,afamelanotida
afatinib,do,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,afatinib
aflibercept,D,,Medicamentos oftálmicos,,,aflibercept
agalsidasa alfa,B2,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,agalsidasa alfa
agalsidasa beta,B2,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,agalsidasa beta
agomelatina,B1,,Sistema nervioso central,antidepresivos,,agomelatina
alatrofloxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas,alatrofloxacina
albendazol,D,"En estudios con animales, el albendazol es teratogénico en varias especies. Hasta que se disponga de datos en humanos, debe sospecharse su teratogénesis.",Antimicrobianos,Antihelmínticos,,albendazol
albutrepenonacog alfa,B2,,Sistema cardiovascular,Agentes hemostáticos,,albutrepenonacog alfa
alcuronio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,alcuronio
aldesleucina,do,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,aldesleucina
